,Query,Description
0,Data Scientist @ IBM,job description junior data scientist ibm work part team solve business-related problem using data-driven technique apply scientific method business scenario clean prepare data statistical machine learning modeling work variety analytical algorithm build model better explain data relationship predict potential scenario translate data insight business value communicate result difference audience also master different technology model deployment throughout apprenticeship ’ work closely experienced data scientist mentor interactive collaborative environment ’ learn fundamental probability statistic linear algebra data preparation data modeling deployment machine learning model addition introduced additional concept skill tool including python hadoop spark presentation skill communication skill apply skill prepare successfully obtain data science experience may lead certification junior data scientist ibm certification junior data scientist provides credential career milestone earned demonstrated usage data science tool methodology case study business reference technical reference apprenticeship program give opportunity build skill grow career junior data scientist apprenticeship ? ibm apprenticeship program official registered apprenticeship recognized department labor dol every graduate registered apprenticeship program receives nationally-recognized credential dol apprenticeship duration required complete specific learning hour job training ha outlined ensure developing skill competency essential role able learn grow pace expect apprentice complete learning within 24 month graduate receive certificate apprentice program eligible apply available full-time role ibm apprenticeship learning ’ seeking candidate following requirement know ’ getting career started ’ committed helping learn grow highly curious individual passion learning love mathematics data ’ exactly type candidate ’ looking data scientist inquisitive exploring asking question analysis questioning existing assumption process analytically-minded statistically mathematically driven successful need drive eagerness learn strong problem solving critical thinking organization communication skill ability work independently take initiative well work collaboratively contribute team environment data science team sport ability think analytically solving problem ’ experience ? apprentice 'll join apprentice local cohort 'll go program together learning ibm skill 'll attaining throughout apprenticeship 'll work manager mentor progress personal skill roadmap learning demonstrating new knowledge competency hands-on application project team 'll complete milestone along way earning digital credential validate skill come back together apprentice participate on-going training development focused professional technical skill best contributing member team putting forward idea taking responsibility making choice get job done like ibmer ncappx travel 25 required required technical professional expertise requirement willingness complete requirement apprenticeship program high school diploma ged curiosity passion learning love math data analysis knowledge experience one following java javascript php c objective-c c/c++ python ruby and/or functional language haskell scala f clojure preferred tech prof experience preferred undergraduate degree required student taken high school advanced math statistic class preferred python programming knowledge eo statement ibm committed creating diverse environment proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status ibm also committed compliance fair employment practice regarding citizenship immigration status
1,Data Scientist @ Flipkart,overall summary data scientist data science solution team individual responsible building advance data science analytical solution help hbo better understand grow best class television film library data product individual develops wide impact across business helping hbo audience discover new content finding new hit television show data scientist work closely engineering team ensure product insight properly moved production environment used wider analytics team drive business strategy primary responsibility lead development data science solution help hbo make smarter content decision across development scheduling marketing digital platform including hbo hbo go hbo.com mine hbo third party data better understand consumer make entertainment choice work engineering team transfer knowledge process production environment requirement bachelor degree quantitative field study statistic operation research etc accredited institution extensive work experience experience applying machine learning professional environment experience neural network computer vision deep learning plus strong background analytic programming r python strong desire continue learn develop data scientist proven technical ability excellent written verbal communication presentation skill proven success partnering engineering business team logical thinking ability capability work multiple project simultaneously limited supervision 4+ year relevant experience
2,Data Scientist @ SAP,team data science team newly formed applied research team within & p ; global rating responsible building executing bold vision around using machine learning natural language processing data science knowledge engineering human computer interface augmenting various business process impact role significant impact success data science project ranging choosing project undertaken delivering highest quality solution ultimately enabling business process product ai data science solution ’ high visibility team opportunity make meaningful impact future direction company work senior leader organization help define build transform business work closely senior scientist create state art augmented intelligence data science machine learning solution responsibility junior data scientist responsible building ai data science model need rapidly prototype various algorithmic implementation test efficacy using appropriate experimental design hypothesis validation basic qualification b computer science computational linguistics artificial intelligence statistic related field preferred qualification experience financial data set & p ; ’ credit rating process highly preferred knowledge working experience one following area natural language processing machine learning question answering text mining information retrieval distributional semantics data science knowledge engineering recruitment agency & p ; global doe accept unsolicited agency resume please forward resume & p ; global employee office location website & p ; global responsible fee related resume & p ; global equal opportunity employer committed making employment decision without regard race/ethnicity gender pregnancy gender identity expression color creed religion national origin age disability marital status including domestic partnership civil union sexual orientation military veteran status unemployment status basis prohibited federal state local law electronic job submission considered employment need accommodation application process due disability please send email eeo.compliance @ spglobal.com request forwarded appropriate person eeo law poster http //www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdfdescribes discrimination protection federal law
3,Data Scientist @ Microsoft,need junior data scientist ny area remote successful candidate join team responsible maintaining competitiveness client 's predictive model well contributing r & agenda role involve working closely variety internal stakeholder ensuring alignment priority maximising usage insight skill & experience required exceptional numerical ability creative thinker/problem solver experience using major data science tool e.g python preferable and/or r organized autonomous drive / commitment excellent interpersonal skill candidate would expected work across existing team strong communication presentation skill including ability translate analysis non-technical audience desirable skill proficiency statistical modelling machine learning technique e.g k-means decision tree neural network ensemble learning etc good working knowledge postgresql understanding data modelling relational database experience machine learning library e.g scikit-learn tensor flow experience feature engineering designing robust model tuning approach
4,Data Scientist @ HP,want help guide core business spotify using insight analysis data ? mission premium analytics team bring spotify premium user across globe constantly evolve improve offering role essential partner consumer subscription team discovering new way leverage content marketing offering guide growth direction spotify premium fingertip ’ access petabyte data get opportunity creative drive insight work impact way world experience music work global team world-class analyst data scientist marketer business manager engineer passionate move forward high impact project high pace learning improving part daily routine free develop skill way working ’ drive business decision help tailor offering synthesizing insight recommendation trove data work business stakeholder understand change driving help discover new opportunity grow design automate pipeline experiment dashboard model ensure quick delivery key insight expert sounding board business manager partner intellectually curious creative diligent…you enjoy thinking business impact work much data professional experience data science technique experimentation content valuation user segmentation churn analysis and/or optimization 3-5 year hands-on experience synthesizing insight data using tool python sql r. experience distributed system redshift hadoop bigquery plus studied economics computer science statistic engineering relevant field proud foster workplace free discrimination strongly believe diversity experience perspective background lead better environment employee better product user creator something value deeply encourage everyone come part changing way world listens music spotify \- 1 day ago \- save job \- [ original job ] http //www.indeed.com/rc/clk ? jk=a0f5f0cfbe59a5d4 & from=vj & pos=top [ apply ] http //www.indeed.com/rc/clk ? jk=a0f5f0cfbe59a5d4 & from=vj & pos=bottom [ apply company site ] http //www.indeed.com/rc/clk ? jk=a0f5f0cfbe59a5d4 & from=vj & pos=bottom save job
5,Data Scientist @ Walmart Labs,mayor 's office data analytics moda new york city 's idea incubator operational analytics moda collaborates city agency deliver measurable improvement city service work touch virtually every urban issue including safety physical infrastructure economic development social service quality life depending need city different situation moda play role strategic advisor analyst technical resource data advocate host internal external client partner successful candidate serve data scientist reporting mayor 's office data analytics moda mission moda deliver actionable insight quantitative support new york city data analytics responsibility include typically entail producing quantitative analysis support on-going project agency- specific pilot program request senior city official duty assigned chief analytics officer ; manipulate analyze technical data city agency order predict outcome prioritize inspection audit resource ; apply statistical data mining technique conduct fraud detection trend analysis predictive analytics using acquired data ; collaborate team member develop novel strategy technical analysis ; develop detailed methodology order allow successful project transferred automated client agency ; create present compelling report stakeholder based upon project finding method ; perform special project initiative assigned minimum qual requirement 1\ baccalaureate degree accredited college two year experience community work community centered activity area related duty described ; 2 high school graduation equivalent six year experience community work community centered activity area related duty described ; 3 education and/or experience equivalent `` 1 '' `` 2 '' however candidate must least one year experience described `` 1 '' preferred skill successful candidate posse following strong quantitative problem-solving skill ; experience empirical method data analytics including working large complex micro - data set building applied statistic econometrics model and/or conducting research ; ability problem solve balancing competing priority complex situation tight deadline ; ability think outside box develop novel strategy analysis ; ability distill complex material actionable recommendation ; excellent written oral communication skill ; energetic resourceful organized results-oriented ; self-starter team player ; comfortable interfacing senior management stakeholder ; proficiency sa stata sql r spss and/or statistical software arcgis gi program python programming language ; interest new york city policy operation apply city employee please go employee self service es click recruiting activity > career search job id 340645for applicant please go www.nyc.gov/jobs/search search job id 340645-or-if access computer please mail resume indicating job id department information technology telecommunication doitt recruitment office - 2 metrotech center - 4th floor - brooklyn ny 11201submission resume guarantee receive interviewappointments subject oversightappointments subject oversight approvaldoitt participates e-verify hours/shift day work location new york ny residency requirement new york city residency generally required within 90 day appointment however city employee certain title worked city 2 continuous year may also eligible reside nassau suffolk putnam westchester rockland orange county determine residency requirement applies please discus agency representative time interview
6,Data Scientist @ Seimens Healthineers,smartly.io fast-growing company aiming best nicest place talented people work learn building automation optimisation tool largest advertiser globally including ebay skyscanner zalora nelly boozt foodpanda based helsinki berlin san francisco new york singapore buenos aire 're looking individual hunger learning life join world-class team ! looking customer-facing data scientist enjoys analyzing complex system communicate finding customer partner clearly concisely role essential making sure systematically improve optimization across customer smartly.io would work global team customer data scientist based major office helsinki new york san francisco singapore analyze validate test digital marketing best practice meet advanced technical marketer industry help take marketing – whole industry – next level addition teach everyone around online marketing work elevate whole company thought leader within market working closely together software developer sale customer data scientist analyze data figure work importantly work drive best world optimizing digital advertising beginning facebook across channel later close collaboration product development bring learning directly product help innovating testing prototyping new optimization feature part making smartly.io thought leader within market blogging analysis creating benchmark report speaking event looking mathematical-analytical mindset ability willingness become digital marketing optimization expert ability collect join data various apis database scripting skill create share tool data analysis ability willingness work client-facing role previous experience account management sale project management technical copywriting plus benefit work nicest brightest teammate flat organisation competitive salary + option plan recharge full 5 week paid annual leave enjoy weekly breakfast friday demo beer monthly sport team smartly.io fast-growing team 200+ humble hungry hunter building b2b saas tool fully automate optimize online marketing scale largest advertiser across globe global company 36 nationality foothold 17 city serving 600+ customer across globe including ebay uber techstyle mission make online advertising easy efficient enjoyable across major platform easy automated efficient constantly driving performance enjoyable best user experience service market combining creative automation ad operation outstanding customer service help brand scale result – headcount great people choose u stay u like company culture tackle challenge huge scale speed learn work smartly.io/culturehandbook
7,Data Scientist @ Zebra Technologies,client looking data scientist add team position fortune 50 company based philadelphia remote position expertise sql development call center customer care data experience plus must able write sql query must experience data extraction etl experience teradata sql server database r studio python scripting plus communication presentation skill must present key stakeholder tableau analysis dashboard development required
8,Data Scientist @ LinkedIn,marketing statement metroplus health plan provides highest quality healthcare service resident bronx brooklyn manhattan queen staten island comprehensive list product including limited new york state medicaid managed care medicare child health plus exchange partnership care metroplus gold essential plan etc wholly-owned subsidiary nyc health + hospital largest public health system united state metroplus ’ network includes 27000 primary care provider specialist participating clinic 30 year metroplus ha committed building strong relationship member provider enable new yorkers live healthiest life position overview data scientist tasked leading data science project discover information hidden vast amount data help u make smarter decision deliver even better care member primary focus applying data mining technique statistical analysis building high quality prediction system integrate product data scientist responsible job span three domain skill statistical/mathematical reasoning business communication/leadership programming teamwork essential role requires collaborating various subject matter expert management industry leader position requires analytical-minded individual experience healthcare enjoys working fast-paced challenging rewarding environment job description solve business problem find pattern insight within structured unstructured data implement new statistical mathematical methodology needed specific model analysis use algorithm programming efficiently go large datasets apply treatment filter condition data create meaningful data visualization communicate finding relate back create business impact collaborate department understand company need devise possible solution optimize joint development effort appropriate database use project design communicate result idea key decision maker communicate needed ny city department health relevant analysis use programming expertise sa sql crystal report develop maintain report keep up-to-date latest technology trend perform duty required minimum qualification 5+ year ’ practical experience sa etl data processing database programming data analytics extensive background data mining statistical analysis skill distribution statistical testing regression etc able understand various data structure common method data transformation excellent pattern recognition predictive modeling skill experience data visualization tool good scripting programming skill great communication skill bachelor ’ degree preferred strong understanding quality care utilization management measurement reporting experience hedis qarr medicare star preferred knowledge medical coding professional competency integrity trust customer focus functional/technical skill written/oral communication apply wish apply position please apply online clicking `` apply '' button forward resume noting job id metroplus health plan human resource department 160 water street 8th floor new york ny 10038 attn recruitment unit position classified managerial title addition variety option health benefit metroplus managerial employee receive vision dental gym reimbursement life insurance benefit management benefit fund city new york please view benefit page detailed information
9,Data Scientist @ Amazon,job description junior data scientist membership analytics job description looking junior data scientist join wall street journal ’ membership analytics team wall street journal ’ mission present factual fair information offer nuance balance readers—we believe market economics business force animate world job product buy membership analytics team committed supporting great business journalism improvement product growth subscription business ob building best-in-class data product bring applied research method stage customer lifecycle includes developing innovative modeling approach inform product decision member engagement strategy role require exceptional visualization data wrangling skills—as well obsession great news product background machine learning application big data architecture ecommerce analytics plus assist management execution large scale data project support daily reporting business journalism ’ source query data required ongoing business intelligence effort larger scale data science project draw meaningful insight large datasets—find creative way insight used sell subscription make experience reading wall street journal better assist management long-term data project effectively communicate business product newsroom stakeholder identifying requirement developing success metric development deployment machine learning application use visualization tool present complex data simple engaging manner identify opportunity new data project ask smart question diagnose real problem develop long-term solution requirement bachelor ’ degree computer science information system mathematics statistic related quantitative discipline applicant data-related expertise professional background medium also encouraged apply 1-2 year professional experience medium company preferred enthusiasm wall street journal understanding product must entrepreneurial attitude toward work sweat detail experience using analytics tool sql tableau excel interest advanced topic analytics machine learning artificial intelligence coding skill i.e r python experience building web application plus dow jones making career newsworthy qualified applicant receive consideration employment without regard race color religion sex national origin protected veteran status disability status eeo/aa/m/f/disabled/vets dow jones committed providing reasonable accommodation qualified individual disability job application and/or interview process need assistance accommodation completing application due disability please reach u talentresourceteam @ dowjones.com please put “ reasonable accommodation '' subject line business area wsj - customer group u dow jones global provider news business information delivering content consumer organization around world across multiple format including print digital mobile live event dow jones ha produced unrivaled quality content 125 year today ha one world ’ largest news gathering operation globally produce leading publication product including flagship wall street journal america ’ largest newspaper paid circulation ; factiva barron ’ marketwatch financial news djx dow jones risk & compliance dow jones newswires dow jones venturesource.dow jones division news corp nasdaq nw nwsa ; asx nw nwslv require assistance completing online application please contact talent management team application help talentresourceteam @ dowjones.com job _req_ 12873
